Agency code,Site no.,Date,Time,Time Zone Code,,SW Level,SW Level Code
USGS,1118000,12/7/2022,13:45,EST,3.12,0.950976,A
USGS,1118000,12/7/2022,14:00,EST,3.13,0.954024,A
USGS,1118000,12/7/2022,14:15,EST,3.16,0.963168,A
USGS,1118000,12/7/2022,14:30,EST,3.17,0.966216,A
USGS,1118000,12/7/2022,14:45,EST,3.2,0.97536,A
USGS,1118000,12/7/2022,15:00,EST,3.24,0.987552,A
USGS,1118000,12/7/2022,15:15,EST,3.26,0.993648,A
USGS,1118000,12/7/2022,15:30,EST,3.3,1.00584,A
USGS,1118000,12/7/2022,15:45,EST,3.32,1.011936,A
USGS,1118000,12/7/2022,16:00,EST,3.36,1.024128,A
USGS,1118000,12/7/2022,16:15,EST,3.41,1.039368,A
USGS,1118000,12/7/2022,16:30,EST,3.42,1.042416,A
USGS,1118000,12/7/2022,16:45,EST,3.44,1.048512,A
USGS,1118000,12/7/2022,17:00,EST,3.48,1.060704,A
USGS,1118000,12/7/2022,17:15,EST,3.51,1.069848,A
USGS,1118000,12/7/2022,17:30,EST,3.53,1.075944,A
USGS,1118000,12/7/2022,17:45,EST,3.56,1.085088,A
USGS,1118000,12/7/2022,18:00,EST,3.57,1.088136,A
USGS,1118000,12/7/2022,18:15,EST,3.61,1.100328,A
USGS,1118000,12/7/2022,18:30,EST,3.64,1.109472,A
USGS,1118000,12/7/2022,18:45,EST,3.64,1.109472,A
USGS,1118000,12/7/2022,19:00,EST,3.67,1.118616,A
USGS,1118000,12/7/2022,19:15,EST,3.7,1.12776,A
USGS,1118000,12/7/2022,19:30,EST,3.71,1.130808,A
USGS,1118000,12/7/2022,19:45,EST,3.74,1.139952,A
USGS,1118000,12/7/2022,20:00,EST,3.75,1.143,A
USGS,1118000,12/7/2022,20:15,EST,3.77,1.149096,A
USGS,1118000,12/7/2022,20:30,EST,3.78,1.152144,A
USGS,1118000,12/7/2022,20:45,EST,3.8,1.15824,A
USGS,1118000,12/7/2022,21:00,EST,3.83,1.167384,A
USGS,1118000,12/7/2022,21:15,EST,3.83,1.167384,A
USGS,1118000,12/7/2022,21:30,EST,3.86,1.176528,A
USGS,1118000,12/7/2022,21:45,EST,3.86,1.176528,A
USGS,1118000,12/7/2022,22:00,EST,3.88,1.182624,A
USGS,1118000,12/7/2022,22:15,EST,3.9,1.18872,A
USGS,1118000,12/7/2022,22:30,EST,3.91,1.191768,A
USGS,1118000,12/7/2022,22:45,EST,3.91,1.191768,A
USGS,1118000,12/7/2022,23:00,EST,3.92,1.194816,A
USGS,1118000,12/7/2022,23:15,EST,3.94,1.200912,A
USGS,1118000,12/7/2022,23:30,EST,3.92,1.194816,A
USGS,1118000,12/7/2022,23:45,EST,3.95,1.20396,A
USGS,1118000,12/8/2022,0:00,EST,3.96,1.207008,A
USGS,1118000,12/8/2022,0:15,EST,3.99,1.216152,A
USGS,1118000,12/8/2022,0:30,EST,3.98,1.213104,A
